mode,genres,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,duration,counts
1,8-bit,0.762,0.712,115177,0.818,0.876,0.126,-9.18,0.047,133.444,0.975,48,7,1:55,1
1,a cappella,0.676557305,0.538961246,190628.5409,0.31643357,0.003003441,0.172254137,-12.47938742,0.08285144,112.110362,0.448248655,45.82007123,7,3:10,3
1,abstract hip hop,0.243854063,0.694570937,231849.2342,0.646234642,0.024231263,0.16854292,-7.349327824,0.2142577,108.2449865,0.571390909,39.79070248,2,3:51,4
1,acid rock,0.256914508,0.447238993,259203.9143,0.580649295,0.150925677,0.230451463,-11.43307331,0.067599853,125.6595223,0.534447478,32.67595533,2,4:19,2
1,acoustic pop,0.490235026,0.535108317,235379.7836,0.476439922,0.03333828,0.157750499,-9.297247893,0.041770665,117.8874198,0.379415353,53.11550475,7,3:55,53
1,acoustic punk,0.404900022,0.53911157,192332.1185,0.615824151,0.061939951,0.209480624,-8.010774105,0.063570523,122.3084885,0.730518825,40.37649219,9,3:12,4
1,acoustic rock,0.613200794,0.524396825,195036,0.416002646,0.321474922,0.140518386,-10.54062037,0.034681085,122.6556627,0.380298677,51.10978836,7,3:15,2
1,adoracion,0.432857143,0.504714286,302906.0714,0.52075,0,0.315985714,-8.010071429,0.038203571,130.7106786,0.311571429,46.39285714,9,5:02,2
1,adult standards,0.655648376,0.496327635,197331.5016,0.382053582,0.118193574,0.196776744,-12.22177628,0.053157818,113.3811766,0.499376181,31.63490211,0,3:17,28
1,afghan pop,0.410628571,0.651714286,326503.9286,0.651571429,0.000911163,0.087460714,-9.152178571,0.084414286,113.5947143,0.784107143,39.32142857,7,5:26,1
1,african rock,0.139856504,0.668895833,236075.3125,0.6110625,0.09379615,0.14969375,-9.36175,0.072654167,115.7093125,0.606458333,42.27083333,8,3:56,1
0,afro dancehall,0.143900248,0.643458333,199565.2285,0.764681818,0.007226254,0.16877702,-5.698983586,0.160152146,131.9640896,0.619359848,44.13510101,11,3:19,3
1,afro-funk,0.137559259,0.803148148,286121.4815,0.724296296,0.079840422,0.093703704,-8.909833333,0.095946296,114.1736296,0.87962963,28.33333333,0,4:46,1
1,afrobeat,0.360871807,0.63296103,320584.2171,0.619076388,0.314023765,0.152058554,-9.931080518,0.060377693,117.1086218,0.710820172,39.99435662,0,5:20,7
1,afrofuturism,0.248163459,0.633518977,288939.4317,0.581705356,0.127961145,0.197545279,-9.079584288,0.141947564,110.5006932,0.458838304,45.43323476,7,4:48,11
1,afropop,0.436659746,0.625803213,309968.9753,0.53452464,0.151395688,0.159884035,-11.09149876,0.077084721,116.542459,0.648471126,41.38034148,7,5:09,8
0,afroswing,0.31845,0.71175,179995.375,0.5801875,0.000257895,0.18995,-7.0166875,0.1955625,83.250125,0.676625,77.3125,11,2:59,2
1,aggrotech,0.01186776,0.601333333,236315,0.712333333,0.252,0.259666667,-6.408,0.034233333,116.7213333,0.443333333,55.66666667,1,3:56,1
1,alabama indie,0.323277602,0.557375,242200.6364,0.626147727,0.057432374,0.119279545,-8.763204545,0.048718182,120.2792841,0.524670455,47.63636364,7,4:02,2
1,alabama rap,0.140772734,0.686115128,224676.3195,0.61188968,0.000470737,0.16230897,-6.678095261,0.16944652,114.1104854,0.469435428,53.22484523,2,3:44,4
1,alaska indie,0.133866667,0.739666667,186644.3333,0.464666667,7.75E-05,0.0832,-9.337,0.047233333,134.4146667,0.739333333,56.33333333,6,3:06,1
1,albany ny indie,0.000564,0.852,215427,0.251,0.756,0.0957,-13.225,0.0683,141.759,0.186,0,8,3:35,1
1,alberta country,0.207767262,0.593991667,206540.95,0.73497381,1.96E-05,0.225803333,-6.57517619,0.055758095,113.514131,0.596814286,51.49047619,4,3:26,4
1,album rock,0.186182455,0.51203061,268948.225,0.660417389,0.073721892,0.214889534,-9.885866902,0.056725599,124.2165272,0.551887282,38.26057679,9,4:28,39
1,albuquerque indie,0.350214593,0.562101852,227711.3519,0.587453704,0.016405615,0.180373148,-8.425898148,0.033461111,126.2257315,0.59212963,51.11111111,9,3:47,2
1,alt-idol,0.000304725,0.46625,240353.75,0.96625,0.22580875,0.3509,-2.62325,0.16655,131.12875,0.38475,60.25,1,4:00,1
1,alternative americana,0.348219271,0.493904514,224527.2986,0.498263889,0.171225078,0.191252951,-9.795267361,0.046948785,125.1544184,0.444696181,49.82291667,7,3:44,6
1,alternative country,0.407115058,0.542579667,249887.8559,0.518155241,0.039372665,0.174722835,-10.29023563,0.045160444,120.2677729,0.513762141,42.85791918,9,4:09,24
1,alternative dance,0.151805707,0.60406644,268439.2937,0.737019026,0.21127096,0.191464645,-6.63747884,0.054930511,126.0957229,0.52606169,51.0524988,2,4:28,59
1,alternative emo,0.128122262,0.494807981,216945.0483,0.715872926,0.043942486,0.189291965,-7.037806589,0.072116574,130.5986643,0.443147454,47.24684037,5,3:36,38
1,alternative hip hop,0.188262487,0.700917024,246410.9679,0.692815071,0.037373956,0.234603997,-7.516890543,0.250647215,106.8601617,0.612556827,47.2256809,1,4:06,21
1,alternative metal,0.058247126,0.458828115,245465.7618,0.830801209,0.10105936,0.210029773,-5.887320968,0.082687658,126.2008731,0.415303693,47.29666727,2,4:05,118
1,alternative pop,0.110067832,0.455066258,221230.531,0.759271015,0.21461553,0.172594815,-8.791657368,0.050904131,128.5739188,0.547557736,37.63709806,9,3:41,1
1,alternative pop rock,0.170467446,0.619229437,200145.9481,0.720244156,1.21E-05,0.18758303,-4.751005195,0.068705931,116.9995489,0.643760173,54.08095238,10,3:20,10
1,alternative r&b,0.307143641,0.662276883,232475.3739,0.544285719,0.021971325,0.172005752,-8.077162285,0.131475259,114.0929037,0.449027212,58.4841941,7,3:52,85
1,alternative rock,0.157058719,0.478342428,240339.4412,0.711732231,0.165487829,0.190390481,-8.30564627,0.062274001,125.4851876,0.505840296,42.72960826,7,4:00,65
1,alternative roots rock,0.269121737,0.493342105,253674,0.618157895,0.107208088,0.169634211,-7.272171053,0.058494737,113.2267895,0.426184211,45.76315789,9,4:13,3
0,ambeat,0.443113993,0.748507326,234658.4945,0.65407326,0.168069788,0.139291758,-7.358032967,0.138791941,98.54111355,0.692760073,49.7014652,1,3:54,2
1,ambient,0.673274347,0.335075295,350676.8254,0.276297458,0.752905602,0.12553577,-19.52910198,0.043267817,107.2875265,0.191482076,43.24113653,11,5:50,8
1,ambient folk,0.644024245,0.528597293,229449.8165,0.378612308,0.154372716,0.158806895,-12.00958618,0.058655456,114.2455349,0.307602137,44.30612536,9,3:49,4
1,ambient pop,0.744708333,0.276416667,228796.4667,0.21773,0.7208758,0.126523333,-17.869,0.036085,95.92368333,0.168668333,44.58333333,2,3:48,2
1,ambient worship,0.510917222,0.337427778,301781.8653,0.461504167,0.232129889,0.11332625,-9.622626389,0.037489306,104.6109806,0.215753333,54.90972222,6,5:01,2
1,american choir,0.895728896,0.229740742,212363.2003,0.209583198,0.155397601,0.336345079,-19.87788389,0.096861842,103.7585325,0.195925209,23.71227785,6,3:32,1
1,american early music,0.995,0.1715,160866.5,0.06905,0.0415615,0.121,-26.5245,0.05225,168.6375,0.0923,41,6,2:40,1
0,american metalcore,0.00257805,0.4075,230631,0.928,0.000266125,0.185425,-4.625,0.2014,151.461,0.2129,44,9,3:50,1
1,american post-rock,0.312072958,0.456697917,300117.2604,0.450555208,0.676551583,0.160279167,-13.17078125,0.043067708,111.2293854,0.237107292,47.51041667,1,5:00,1
